,PostalCode,Borough,Neighbourhood,address,Coordinates,latitude,longitude
0,M1B,Scarborough,"Malvern, Rouge","M1B,Scarborough,Malvern, Rouge",,,
1,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek","M1C,Scarborough,Rouge Hill, Port Union, Highland Creek",,,
2,M1E,Scarborough,"Guildwood, Morningside, West Hill","M1E,Scarborough,Guildwood, Morningside, West Hill",,,
3,M1G,Scarborough,Woburn,"M1G,Scarborough,Woburn","Woburn, Scarborough—Guildwood, Scarborough, Toronto, Golden Horseshoe, Ontario, M1H 2A2, Canada",43.7598243,-79.2252908
4,M1H,Scarborough,Cedarbrae,"M1H,Scarborough,Cedarbrae",,,
5,M1J,Scarborough,Scarborough Village,"M1J,Scarborough,Scarborough Village",,,
6,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park","M1K,Scarborough,Kennedy Park, Ionview, East Birchmount Park",,,
7,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge","M1L,Scarborough,Golden Mile, Clairlea, Oakridge",,,
8,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West","M1M,Scarborough,Cliffside, Cliffcrest, Scarborough Village West",,,
9,M1N,Scarborough,"Birch Cliff, Cliffside West","M1N,Scarborough,Birch Cliff, Cliffside West",,,
10,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre","M1P,Scarborough,Dorset Park, Wexford Heights, Scarborough Town Centre",,,
11,M1R,Scarborough,"Wexford, Maryvale","M1R,Scarborough,Wexford, Maryvale",,,
12,M1S,Scarborough,Agincourt,"M1S,Scarborough,Agincourt",,,
13,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan","M1T,Scarborough,Clarks Corners, Tam O'Shanter, Sullivan",,,
14,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East","M1V,Scarborough,Milliken, Agincourt North, Steeles East, L'Amoreaux East",,,
15,M1W,Scarborough,"Steeles West, L'Amoreaux West","M1W,Scarborough,Steeles West, L'Amoreaux West","1900, Steeles, Scarborough—Agincourt, Scarborough, Toronto, Golden Horseshoe, Ontario, M1V 5E9, Canada",43.812528,-79.30797943372593
16,M1X,Scarborough,Upper Rouge,"M1X,Scarborough,Upper Rouge",,,
17,M2H,NorthYork,Hillcrest Village,"M2H,NorthYork,Hillcrest Village",,,
18,M2J,NorthYork,"Fairview, Henry Farm, Oriole","M2J,NorthYork,Fairview, Henry Farm, Oriole",,,
19,M2K,NorthYork,Bayview Village,"M2K,NorthYork,Bayview Village",,,
20,M2L,NorthYork,"York Mills, Silver Hills","M2L,NorthYork,York Mills, Silver Hills",,,
21,M2M,NorthYork,"Willowdale, Newtonbrook","M2M,NorthYork,Willowdale, Newtonbrook",,,
22,M2N,NorthYork,"Willowdale, Willowdale East","M2N,NorthYork,Willowdale, Willowdale East",,,
23,M2P,NorthYork,York Mills West,"M2P,NorthYork,York Mills West",,,
24,M2R,NorthYork,"Willowdale, Willowdale West","M2R,NorthYork,Willowdale, Willowdale West",,,
25,M3A,NorthYork,Parkwoods,"M3A,NorthYork,Parkwoods",,,
26,M3B,NorthYork,Don Mills,"M3B,NorthYork,Don Mills",,,
27,M3C,NorthYork,Don Mills,"M3C,NorthYork,Don Mills",,,
28,M3H,NorthYork,"Bathurst Manor, Wilson Heights, Downsview North","M3H,NorthYork,Bathurst Manor, Wilson Heights, Downsview North",,,
29,M3J,NorthYork,"Northwood Park, York University","M3J,NorthYork,Northwood Park, York University",,,
30,M3K,NorthYork,Downsview,"M3K,NorthYork,Downsview",,,
31,M3L,NorthYork,Downsview,"M3L,NorthYork,Downsview",,,
32,M3M,NorthYork,Downsview,"M3M,NorthYork,Downsview",,,
33,M3N,NorthYork,Downsview,"M3N,NorthYork,Downsview",,,
34,M4A,NorthYork,Victoria Village,"M4A,NorthYork,Victoria Village",,,
35,M4B,EastYork,"Parkview Hill, Woodbine Gardens","M4B,EastYork,Parkview Hill, Woodbine Gardens",,,
36,M4C,EastYork,Woodbine Heights,"M4C,EastYork,Woodbine Heights",,,
37,M4E,EastToronto,The Beaches,"M4E,EastToronto,The Beaches",,,
38,M4G,EastYork,Leaside,"M4G,EastYork,Leaside",,,
39,M4H,EastYork,Thorncliffe Park,"M4H,EastYork,Thorncliffe Park",,,
40,M4J,EastYork,"East Toronto, Broadview North (Old East York)","M4J,EastYork,East Toronto, Broadview North (Old East York)",,,
41,M4K,EastToronto,"The Danforth West, Riverdale","M4K,EastToronto,The Danforth West, Riverdale",,,
42,M4L,EastToronto,"India Bazaar, The Beaches West","M4L,EastToronto,India Bazaar, The Beaches West",,,
43,M4M,EastToronto,Studio District,"M4M,EastToronto,Studio District",,,
44,M4N,CentralToronto,Lawrence Park,"M4N,CentralToronto,Lawrence Park",,,
45,M4P,CentralToronto,Davisville North,"M4P,CentralToronto,Davisville North",,,
46,M4R,CentralToronto,"North Toronto West,  Lawrence Park","M4R,CentralToronto,North Toronto West,  Lawrence Park",,,
47,M4S,CentralToronto,Davisville,"M4S,CentralToronto,Davisville",,,
48,M4T,CentralToronto,"Moore Park, Summerhill East","M4T,CentralToronto,Moore Park, Summerhill East",,,
49,M4V,CentralToronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park","M4V,CentralToronto,Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",,,
50,M4W,DowntownToronto,Rosedale,"M4W,DowntownToronto,Rosedale",,,
51,M4X,DowntownToronto,"St. James Town, Cabbagetown","M4X,DowntownToronto,St. James Town, Cabbagetown",,,
52,M4Y,DowntownToronto,Church and Wellesley,"M4Y,DowntownToronto,Church and Wellesley",,,
53,M5A,DowntownToronto,"Regent Park, Harbourfront","M5A,DowntownToronto,Regent Park, Harbourfront",,,
54,M5B,DowntownToronto,"Garden District, Ryerson","M5B,DowntownToronto,Garden District, Ryerson",,,
55,M5C,DowntownToronto,St. James Town,"M5C,DowntownToronto,St. James Town",,,
56,M5E,DowntownToronto,Berczy Park,"M5E,DowntownToronto,Berczy Park",,,
57,M5G,DowntownToronto,Central Bay Street,"M5G,DowntownToronto,Central Bay Street",,,
58,M5H,DowntownToronto,"Richmond, Adelaide, King","M5H,DowntownToronto,Richmond, Adelaide, King",,,
59,M5J,DowntownToronto,"Harbourfront East, Union Station, Toronto Islands","M5J,DowntownToronto,Harbourfront East, Union Station, Toronto Islands",,,
60,M5K,DowntownToronto,"Toronto Dominion Centre, Design Exchange","M5K,DowntownToronto,Toronto Dominion Centre, Design Exchange",,,
61,M5L,DowntownToronto,"Commerce Court, Victoria Hotel","M5L,DowntownToronto,Commerce Court, Victoria Hotel",,,
62,M5M,NorthYork,"Bedford Park, Lawrence Manor East","M5M,NorthYork,Bedford Park, Lawrence Manor East",,,
63,M5N,CentralToronto,Roselawn,"M5N,CentralToronto,Roselawn",,,
64,M5P,CentralToronto,"Forest Hill North & West, Forest Hill Road Park","M5P,CentralToronto,Forest Hill North & West, Forest Hill Road Park",,,
65,M5R,CentralToronto,"The Annex, North Midtown, Yorkville","M5R,CentralToronto,The Annex, North Midtown, Yorkville",,,
66,M5S,DowntownToronto,"University of Toronto, Harbord","M5S,DowntownToronto,University of Toronto, Harbord",,,
67,M5T,DowntownToronto,"Kensington Market, Chinatown, Grange Park","M5T,DowntownToronto,Kensington Market, Chinatown, Grange Park",,,
68,M5V,DowntownToronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport","M5V,DowntownToronto,CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",,,
69,M5W,DowntownToronto,Stn A PO Boxes,"M5W,DowntownToronto,Stn A PO Boxes",,,
70,M5X,DowntownToronto,"First Canadian Place, Underground city","M5X,DowntownToronto,First Canadian Place, Underground city",,,
71,M6A,NorthYork,"Lawrence Manor, Lawrence Heights","M6A,NorthYork,Lawrence Manor, Lawrence Heights",,,
72,M6B,NorthYork,Glencairn,"M6B,NorthYork,Glencairn",,,
73,M6C,York,Humewood-Cedarvale,"M6C,York,Humewood-Cedarvale",,,
74,M6E,York,Caledonia-Fairbanks,"M6E,York,Caledonia-Fairbanks",,,
75,M6G,DowntownToronto,Christie,"M6G,DowntownToronto,Christie",,,
76,M6H,WestToronto,"Dufferin, Dovercourt Village","M6H,WestToronto,Dufferin, Dovercourt Village",,,
77,M6J,WestToronto,"Little Portugal, Trinity","M6J,WestToronto,Little Portugal, Trinity",,,
78,M6K,WestToronto,"Brockton, Parkdale Village, Exhibition Place","M6K,WestToronto,Brockton, Parkdale Village, Exhibition Place",,,
79,M6L,NorthYork,"North Park, Maple Leaf Park, Upwood Park","M6L,NorthYork,North Park, Maple Leaf Park, Upwood Park",,,
80,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn","M6M,York,Del Ray, Mount Dennis, Keelsdale and Silverthorn",,,
81,M6N,York,"Runnymede, The Junction North","M6N,York,Runnymede, The Junction North","Runnymede, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6P, Canada",43.6655802,-79.4821078
82,M6P,WestToronto,"High Park, The Junction South","M6P,WestToronto,High Park, The Junction South",,,
83,M6R,WestToronto,"Parkdale, Roncesvalles","M6R,WestToronto,Parkdale, Roncesvalles",,,
84,M6S,WestToronto,"Runnymede, Swansea","M6S,WestToronto,Runnymede, Swansea",,,
85,M7A,DowntownToronto,"Queen's Park, Ontario Provincial Government","M7A,DowntownToronto,Queen's Park, Ontario Provincial Government",,,
86,M7R,Mississauga,Canada Post Gateway Processing Centre,"M7R,Mississauga,Canada Post Gateway Processing Centre",,,
87,M7Y,EastToronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto","M7Y,EastToronto,Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",,,
88,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores","M8V,Etobicoke,New Toronto, Mimico South, Humber Bay Shores",,,
89,M8W,Etobicoke,"Alderwood, Long Branch","M8W,Etobicoke,Alderwood, Long Branch",,,
90,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North","M8X,Etobicoke,The Kingsway, Montgomery Road, Old Mill North",,,
91,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East","M8Y,Etobicoke,Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",,,
92,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West","M8Z,Etobicoke,Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",,,
93,M9A,Etobicoke,"Islington Avenue, Humber Valley Village","M9A,Etobicoke,Islington Avenue, Humber Valley Village",,,
94,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale","M9B,Etobicoke,West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",,,
95,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood","M9C,Etobicoke,Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",,,
96,M9L,NorthYork,Humber Summit,"M9L,NorthYork,Humber Summit",,,
97,M9M,NorthYork,"Humberlea, Emery","M9M,NorthYork,Humberlea, Emery",,,
98,M9N,York,Weston,"M9N,York,Weston",,,
99,M9P,Etobicoke,Westmount,"M9P,Etobicoke,Westmount",,,
100,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens","M9R,Etobicoke,Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",,,
101,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens","M9V,Etobicoke,South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",,,
102,M9W,Etobicoke,"Northwest, West Humber - Clairville","M9W,Etobicoke,Northwest, West Humber - Clairville",,,
